"","burnbeta","trial","id","stim"
"139",0.239583333333333,290,"1","TGI"
"140",0.129340277777778,294,"1","TGI"
"141",0.460069444444444,296,"1","warm"
"142",0.402777777777778,298,"1","cold"
"143",0.211805555555556,299,"1","TGI"
"144",0.454861111111111,301,"1","cold"
"145",0.337673611111111,304,"1","TGI"
"146",0.394965277777778,305,"1","TGI"
"147",0.262152777777778,306,"1","TGI"
"148",0,1,"2","warm"
"149",0,3,"2","warm"
"150",0,8,"2","warm"
"151",0.400173611111111,9,"2","cold"
"152",0.184027777777778,12,"2","TGI"
"153",0.368055555555556,14,"2","TGI"
"154",0,15,"2","warm"
"155",0.309895833333333,17,"2","TGI"
"156",0.0347222222222222,18,"2","cold"
"157",0.0130208333333333,21,"2","cold"
"158",0.383680555555556,24,"2","warm"
"159",0,25,"2","warm"
"160",0.108506944444444,26,"2","cold"
"161",0.169270833333333,27,"2","cold"
"162",0.114583333333333,28,"2","warm"
"163",0.0277777777777778,31,"2","warm"
"164",0.3828125,34,"2","TGI"
"165",0.0572916666666667,41,"2","cold"
"166",0,48,"2","cold"
"167",0.154513888888889,49,"2","cold"
"168",0,50,"2","warm"
"169",0,51,"2","warm"
"170",0,54,"2","warm"
"171",0.0399305555555556,60,"2","TGI"
"172",0.5234375,65,"2","cold"
"173",0.0590277777777778,67,"2","warm"
"174",0,68,"2","warm"
"175",0.342013888888889,75,"2","TGI"
"176",0,76,"2","cold"
"177",0,77,"2","cold"
"178",0.0824652777777778,79,"2","TGI"
"179",0,80,"2","warm"
"180",0,81,"2","cold"
"181",0.0746527777777778,82,"2","cold"
"182",0.0303819444444444,84,"2","cold"
"183",0.419270833333333,87,"2","TGI"
"184",0.416666666666667,92,"2","warm"
"185",0.0260416666666667,94,"2","TGI"
"186",0,102,"2","warm"
"187",0,103,"2","warm"
"188",0,104,"2","warm"
"189",0.0338541666666667,106,"2","TGI"
"190",0,107,"2","warm"
"191",0,108,"2","cold"
"192",0,109,"2","TGI"
"193",0,113,"2","cold"
"194",0,115,"2","warm"
"195",0.0347222222222222,116,"2","TGI"
"196",0,119,"2","TGI"
"197",0,122,"2","warm"
"198",0,123,"2","cold"
"199",0.497395833333333,125,"2","TGI"
"200",0.301215277777778,127,"2","TGI"
"201",0,128,"2","warm"
"202",0.0225694444444444,129,"2","TGI"
"203",0.143229166666667,131,"2","TGI"
"204",0.0251736111111111,135,"2","TGI"
"205",0,137,"2","TGI"
"206",0,138,"2","warm"
"207",0,140,"2","warm"
"208",0,141,"2","TGI"
"209",0,145,"2","warm"
"210",0,147,"2","cold"
"211",0,148,"2","cold"
